"Name","State","Notes","User","Tags","Created","Runtime","Sweep","hidden_size","input_size","lr","num_classes","num_epochs","optimizer","prefactor","use_mup","act change a1","act change a2","act change a3","act change h1","act change h2","act mean(abs(a1))","act mean(abs(a2))","act mean(abs(a3))","act mean(abs(h1))","act mean(abs(h2))","act norm a1","act norm a2","act norm a3","act norm h1","act norm h2","epoch","grad mean(abs(grad_fc1.weight))","grad mean(abs(grad_fc2.weight))","grad mean(abs(grad_fc3.weight))","grad norm fc1.weight","grad norm fc2.weight","grad norm fc3.weight","spectral_norm_W0","spectral_norm_W1","spectral_norm_W2","test_acc","test_loss","train_loss","trainer/global_step","val_acc","val_loss"
"std_sgd_w2048_lr0.25_e25_b128_1176","finished","-","","","2024-10-22T03:43:00.000Z","80","","2048","3072","0.25","10","25","sgd","1.4142135623730951","false","","","","","","0.8916289806365967","0.7780082821846008","5.696468353271484","0.2837894856929779","0.16126182675361633","51.43524169921875","44.218963623046875","22.09371566772461","25.68476676940918","17.283496856689453","0","0.0000976312076090835","0.00008399824582738802","0.0002853924816008657","0.3327558934688568","0.28653135895729065","0.07364927232265472","4.604263782501221","3.5989489555358887","9.117993354797363","0.5720000267028809","2.2160537242889404","0.044005438685417175","0","0.5720000267028809","2.2160539627075195"
"mup_sgd_w2048_lr0.125_e25_b128_9526","crashed","-","","","2024-10-22T03:41:11.000Z","76","","2048","3072","0.125","10","25","sgd","1.4142135623730951","true","","","","","","0.6931056976318359","1.1695730686187744","1.6391465663909912","0.3498416543006897","0.9955815672874452","40.10359954833984","65.3118667602539","6.238430023193359","28.644712448120117","62.01808166503906","19","0.0002710160333663225","0.00010058820771519096","0.014006546698510649","0.9071919918060304","0.3045099675655365","2.711343288421631","","","","","","1.3078813552856443","3899","0.5182999968528748","1.3704938888549805"
"std_sgd_w2048_lr0.125_e25_b128_2214","finished","-","","","2024-10-22T03:39:24.000Z","80","","2048","3072","0.125","10","25","sgd","1.4142135623730951","false","","","","","","0.6707253456115723","0.3710097074508667","3.823097467422486","0.22687259316444397","0.1466456651687622","39.090126037597656","21.263097763061523","14.85080909729004","20.379711151123047","12.70899486541748","0","0.00055632961448282","0.00044834267464466393","0.0021171974949538708","1.8430566787719729","1.3436187505722046","0.4454220831394195","3.2439799308776855","2.6583738327026367","6.512662410736084","0.5196999907493591","2.069244623184204","0.33484289050102234","0","0.5196999907493591","2.069244623184204"
"mup_sgd_w1024_lr10.0_e25_b128_1449","failed","-","","","2024-10-22T03:37:49.000Z","67","","1024","3072","10","10","25","sgd","1.4142135623730951","true","","","","","","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","24","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","NaN","4899","0.10000000149011612","NaN"
"std_sgd_w1024_lr10.0_e25_b128_6380","failed","-","","","2024-10-22T03:36:17.000Z","68","","1024","3072","10","10","25","sgd","1.4142135623730951","false","","","","","","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","24","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","NaN","4899","0.10000000149011612","NaN"
"mup_sgd_w1024_lr1.0_e25_b128_8321","finished","-","","","2024-10-22T03:34:42.000Z","72","","1024","3072","1","10","25","sgd","1.4142135623730951","true","","","","","","1.4627528190612793","2.2950401306152344","3.827822208404541","0.48718178272247314","0.7149237394332886","60.0374641418457","93.0552215576172","14.669093132019045","31.045875549316406","47.4264030456543","0","0.0005384454852901399","0.00036003795685246587","0.012506174854934216","1.2554330825805664","0.5342308282852173","1.9067018032073977","4.464095115661621","2.900473117828369","7.024034023284912","0.515999972820282","2.028388261795044","0.31380027532577515","0","0.515999972820282","2.028388023376465"
"std_sgd_w1024_lr1.0_e25_b128_4908","crashed","-","","","2024-10-22T03:33:10.000Z","60","","1024","3072","1","10","25","sgd","1.4142135623730951","false","","","","","","1.8390460014343264","4.96600341796875","3.332022905349731","0.4615527391433716","0.05545582249760628","73.64407348632812","185.2899475097656","12.366863250732422","31.408252716064453","11.56322193145752","10","0.0004742956953123212","0.0004462802899070084","0.002299371873959899","1.1601130962371826","1.0667436122894287","0.5263444781303406","","","","","","1.0846149921417236","2155","0.4650000035762787","2.101736545562744"
"mup_sgd_w1024_lr0.5_e25_b128_8354","crashed","-","","","2024-10-22T03:31:39.000Z","60","","1024","3072","0.5","10","25","sgd","1.4142135623730951","true","","","","","","0.7076386213302612","0.9373211860656738","1.8391618728637695","0.3090750575065613","0.6837475299835205","29.156105041503903","37.96875","7.030272483825684","18.86157989501953","33.77399444580078","10","0.0007282299920916557","0.000283355126157403","0.017452364787459373","1.6955267190933228","0.4292321503162384","2.4374547004699707","","","","","","1.387871026992798","2155","0.49790000915527344","1.4329328536987305"
"std_sgd_w1024_lr0.5_e25_b128_4389","finished","-","","","2024-10-22T03:30:04.000Z","71","","1024","3072","0.5","10","25","sgd","1.4142135623730951","false","","","","","","1.8078885078430176","3.536996841430664","6.949350357055664","0.5116837024688721","0.17957161366939545","72.5486831665039","133.98199462890625","26.78955841064453","33.02803039550781","20.637046813964844","0","0.0003850944922305643","0.00045012126793153584","0.001196859055198729","0.9439654350280762","1.0088032484054563","0.29430851340293884","8.93564510345459","6.813139915466309","12.354572296142578","0.5503000020980835","2.937988042831421","0.08768114447593689","0","0.5503000020980835","2.937988042831421"
"mup_sgd_w1024_lr0.25_e25_b128_7668","finished","-","","","2024-10-22T03:28:31.000Z","70","","1024","3072","0.25","10","25","sgd","1.4142135623730951","true","","","","","","0.7030510902404785","1.068937063217163","2.247232675552368","0.3180961012840271","0.8810490369796753","29.04149055480957","42.6961669921875","8.552167892456055","19.19875717163086","40.02333068847656","0","0.0009083990007638932","0.000349584617651999","0.01927892677485943","2.117112398147583","0.5335632562637329","2.877492666244507","1.9227811098098757","1.9376189708709717","3.960882186889648","0.5227000117301941","1.4478594064712524","0.7285358309745789","0","0.5227000117301941","1.4478589296340942"
